HeatedSqFt,Acres,SalePrice
5795,1,940000
5632,0.89,200000
5386,2.71,632000
5089,14.41,850000
5052,1.93,1076500
5028,1.58,855000
5024,2.6,437555
4963,0.66,446338
4920,0.97,256000
4796,1.35,280000
4732,4.61,262500
4732,4.61,262500
4671,0.54,585000
4662,2.6,260295
4662,2.6,176564
4596,0.31,557000
4588,147.78,665010
4395,0.98,505000
4346,0.32,456500
4306,2.3,450000
4291,1.1,225000
4247,4.11,265000
4216,1.42,365000
4206,0.61,630000
4040,0.38,340000
4025,2.12,343000
4002,0.45,1175000
3995,0.54,736000
3876,0.41,1586143
3868,0.6,550000
3842,1.29,775000
3842,0.66,137000
3837,2.83,507000
3816,0.84,620000
3810,3.28,234272
3808,0.73,200000
3800,0.21,150000
3741,1.71,282500
3628,0.4,319510
3618,0.38,599900
3614,0.1,370000
3521,0.29,595500
3514,0.42,400000
3503,7.63,350000
3490,1.32,172500
3477,1.17,159400
3454,0.49,755500
3454,3.52,275000
3446,1.05,370000
3442,0.35,620000
3437,0.24,247000
3417,1.67,224000
3406,0.31,250000
3391,3.27,220900
3386,3.34,190000
3384,0.5,395000
3382,2.84,240000
3368,0.19,300000
3331,0.59,799000
3274,0.33,340000
3256,1.5,410000
3252,5,238447
3239,0.19,564200
3236,1.18,253250
3235,0.52,829071
3232,0.32,438000
3224,0.88,653000
3221,0.77,385000
3211,0.9,621828
3203,1.83,307000
3186,0.58,523000
3180,0.93,310000
3120,0.28,269000
3120,0.28,265000
3104,0.45,461100
3100,0.24,219000
3093,0.24,545000
3093,0.24,348200
3093,0.24,318500
3088,2.22,236000
3087,1.16,152000
3083,1.78,354000
3080,0.26,265000
3080,0.31,211000
3036,0.08,300000
3032,0.23,475000
3018,0.33,210000
3017,1.26,350000
3011,0.69,252000
2978,0.37,235000
2954,0.07,289900
2947,0.18,492500
2942,0.36,550900
2934,0.33,470000
2934,0.55,234900
2928,3.75,218000
2914,0.31,315000
2912,0.37,280000
2908,5.54,365000
2905,6.09,269000
2896,0.32,315000
2882,0.59,370000
2880,1.2,675000
2880,0.21,385000
2880,0.21,160000
2872,0.32,550000
2868,0.25,212500
2863,0.39,590000
2858,0.38,240000
2840,0.83,217500
2831,0.63,597500
2831,0.33,422000
2825,1.63,257000
2822,0.46,236000
2784,0.45,342500
2779,10,310000
2774,6,256000
2754,2.41,185000
2745,4.73,140000
2712,0.55,338500
2709,0.63,271000
2706,0.49,234820
2694,0.67,635000
2693,0.35,279900
2691,0.38,320000
2690,0.34,485000
2688,0.34,410000
2688,0.66,331500
2676,2,255000
2654,0.89,338000
2650,2.49,247500
2643,0.48,227000
2640,0.54,135000
2634,0.43,174000
2613,0.5,155000
2585,0.56,210000
2584,0.27,1586143
2584,0.38,1282429
2577,0.33,400000
2564,0.94,373100
2564,0.4,285000
2545,3,129900
2545,3,116530
2537,0.32,309000
2537,6.82,175000
2531,0.45,252290
2529,0.49,255000
2527,0.1,160000
2505,0.23,184000
2501,0.16,426000
2501,0.65,191633
2501,0.65,191633
2495,0.58,322000
2484,0.83,520000
2476,0.31,425000
2466,0.33,475000
2449,0.35,125000
2444,0.23,479000
2432,10.75,260000
2410,3.5,170900
2406,0.79,250000
2398,0.25,287357
2396,13.95,180000
2394,0.17,399000
2392,2.32,205000
2371,0.24,112800
2360,0.36,730000
2359,2.18,218000
2354,0.19,545000
2354,0.56,380000
2336,0.28,142000
2325,0.32,165000
2320,0.4,239000
2320,3.85,188826
2320,3.85,186900
2314,0.65,379900
2312,0.51,263700
2304,0.26,445000
2304,1.73,131000
2294,0.49,505000
2288,0.17,365000
2284,9.1,225000
2282,0.28,424650
2278,0.13,237000
2266,0.27,386000
2266,0.27,158000
2260,0.45,457000
2257,12.01,172000
2251,0.86,383000
2244,0.39,335000
2243,0.32,320000
2242,0.82,2900000
2241,0.3,340000
2229,0.5,117730
2227,0.35,205000
2226,0.32,425000
2224,0.37,389900
2217,0.43,354700
2200,1.19,360000
2200,0.08,355000
2199,0.25,269000
2195,0.63,230000
2179,0.35,440000
2174,0.26,239000
2173,0.33,167300
2164,0.42,509740
2162,0.39,232000
2162,2.93,174000
2149,0.37,201900
2149,0.37,148000
2144,0.57,274000
2140,0.37,240000
2132,0.5,160000
2128,0.67,275000
2128,0.05,148000
2121,0.36,306000
2117,0.05,150000
2116,0.24,1282429
2116,0.38,1282429
2116,0.18,829071
2115,0.6,228500
2109,0.13,350000
2108,0.19,245000
2105,0.36,159900
2092,1.58,116000
2084,0.32,293500
2084,4.6,150000
2080,0.25,120000
2064,0.82,176000
2060,0.37,255000
2048,0.3,200000
2045,0.24,1282429
2042,0.41,112900
2040,0.12,215000
2040,0.14,205500
2039,0.39,415000
2035,9.06,165900
2031,0.16,125000
2030,1.96,152900
2028,0.33,375568
2025,0.18,160000
2024,0.3,190000
2020,0.37,385000
2017,1.23,140000
2016,0.25,265000
2016,0.23,200000
2016,0.17,127000
1996,1.88,108500
1984,0.14,1586143
1980,0.39,325000
1980,0.12,245000
1973,0.47,289500
1951,0.48,128000
1944,4.62,282000
1940,0.18,1586143
1932,0.42,175129
1932,0.72,150000
1932,0.42,137000
1918,0.18,410000
1916,0.35,350000
1910,2.8,526600
1904,0.24,202000
1904,0.24,182500
1877,0.46,242000
1876,0.28,370000
1874,0.35,360000
1870,0.72,214000
1866,0.09,433000
1864,0.9,235500
1864,0.32,201000
1850,0.45,230000
1839,5.1,385000
1831,0.38,385500
1830,0.3,337000
1830,0.25,190000
1826,0.26,220000
1826,0.12,170000
1824,0.13,202000
1808,0.61,219000
1807,0.25,157000
1806,0.19,1586143
1800,0.19,210000
1800,0.22,189900
1800,0.27,175000
1796,0.7,265000
1796,0.02,147000
1793,0.27,180000
1782,0.11,315000
1782,0.04,189900
1770,0.37,420000
1768,3.08,130000
1761,0.26,319000
1756,0.37,265000
1736,0.22,225000
1733,0.58,198850
1725,0.36,122000
1721,0.41,290000
1711,0.3,110000
1710,0.27,235000
1710,0.26,118000
1708,1.5,148500
1703,1.44,134900
1700,3.89,140000
1692,0.18,270000
1688,0.63,305000
1686,0.59,210000
1682,0.24,165300
1680,0.7,155000
1676,4.36,169800
1676,0.04,140000
1671,0.15,140000
1664,0.1,270000
1661,0.36,238000
1660,0.13,433000
1658,0.37,235000
1648,0.31,285000
1648,0.18,210000
1644,0.31,284500
1639,0.44,117000
1638,1.63,170000
1626,0.2,299000
1626,0.2,165000
1621,0.04,150000
1620,0.34,380000
1620,0.25,290000
1614,1.1,128900
1612,0.35,293000
1612,0.16,122000
1609,0.4,232000
1605,2.09,189500
1600,0.58,136000
1597,4.75,203700
1596,0.33,152000
1591,0.25,349000
1591,0.25,185000
1590,0.36,283550
1584,0.24,131000
1580,0.89,150500
1576,5.94,148500
1574,0.34,161000
1573,0.2,255000
1565,0.34,180000
1560,0.12,120000
1559,0.32,275000
1558,1,134000
1557,0.14,188000
1546,1,130000
1539,0.41,173400
1538,0.3,200000
1537,0.37,360000
1537,0.49,300000
1537,0.49,195000
1536,0.12,176000
1535,0.19,335000
1534,0.23,209000
1534,0.23,148000
1534,0.23,148000
1533,0.33,158000
1529,0.29,183000
1528,0.28,242000
1519,0.14,200000
1517,0.27,191500
1512,0.14,300000
1512,0.12,167205
1512,0.12,120000
1500,0.19,327500
1500,0.17,195000
1494,0.19,183000
1488,0.38,170000
1464,0.25,132500
1463,0.42,230000
1450,2.79,344162
1447,0.29,255000
1440,2.05,135788
1438,0.63,167000
1432,0.29,220000
1419,0.22,209000
1415,0.37,210000
1412,0.11,210000
1408,0.22,200000
1407,0.23,211500
1404,2.24,140000
1398,0.28,125000
1394,0.36,150000
1392,0.54,131000
1392,0.26,125000
1389,0.17,190000
1383,0.27,215000
1380,0.19,121000
1377,0.03,142000
1377,0.12,111500
1375,0.14,205000
