#SampleID	Location	Date_Taken	Sample_Type	Soil_Test_Number	PlantA_Or_B	Notes	GA_Microbiome	Living_Mulch	Endophyte	R1_Fastq_Name	R2_Fastq_Name	reads	Growing_Degree_Days	GPSlatitude	GPSlongitude	Living_Mulch_Treatment	quant_reading	Sample_or_Control	precipIntensity	precipProbability	temperatureHigh	temperatureLow	dewPoint	humidity	windSpeed	uvIndex	Sampling_Number	Lime_Buffer_Capacity	pH	Water_pH	Base_Saturation_perc	Cation_Exchange_Capacity	Ca_ppm	Cd_ppm	Cr_ppm	Cu_ppm	Fe_ppm	K_ppm	Mg_ppm	Mn_ppm	Mo_ppm	Na_ppm	Ni_ppm	P_ppm	Pb_ppm	Zn_ppm	Organic_Matter_perc	N_perc	Sampling_NumberGDD	Plate	Row	Column	Well	Concentration
GA1810I1400	Midville	2018-06-07	Inrow_Soil	75	NA	NA	TRUE	FALSE	FALSE	GA1810I1400_S178_L001_R1_001.fastq.gz	GA1810I1400_S178_L001_R2_001.fastq.gz	103912	1400	32.87781	-82.21691	NA	130	Sample	0.003737705	0.3814754	80.98607	59.5459	58.80475	0.7388525	4.611967	8.016393	10	159	5.94	6.54	89.1	3.34	396	0.06	0.02	0.29	8.38	146.1	70.7	7.9	0.02	6.27	1.11	24.5	0.46	2.85	0.86	0.01	101400	2	G	10	G10	130
GA1810I600	Midville	2018-05-07	Inrow_Soil	25	NA	_maybe_replace_SWVT	TRUE	FALSE	FALSE	GA1810I600_S131_L001_R1_001.fastq.gz	GA1810I600_S131_L001_R2_001.fastq.gz	107707	600	32.87781	-82.21692	NA	70.166667	Sample	0.003737705	0.3814754	80.98607	59.5459	58.80475	0.7388525	4.611967	8.016393	10	172	5.84	6.44	84.3	3.15	348	0.06	0.07	0.28	12.77	163.2	56.1	5.1	0.02	7.65	1.15	26.45	0.58	2.81	0.98	0.07	10600	2	C	11	C11	70.1666666667
GA1810Ka1400	Midville	2018-06-07	Stalk	NA	a	NA	TRUE	FALSE	FALSE	GA1810Ka1400_S16_L001_R1_001.fastq.gz	GA1810Ka1400_S16_L001_R2_001.fastq.gz	7602	1400	32.87781	-82.21691	NA	139.666667	Sample	0.003737705	0.3814754	80.98607	59.5459	58.80475	0.7388525	4.611967	8.016393	10	159	5.94	6.54	89.1	3.34	396	0.06	0.02	0.29	8.38	146.1	70.7	7.9	0.02	6.27	1.11	24.5	0.46	2.85	0.86	0.01	101400	1	B	4	B4	139.6666666667
GA1810Ka600	Midville	2018-05-07	Stalk	NA	a	_maybe_replace_SWVT	TRUE	FALSE	FALSE	GA1810Ka600_S42_L001_R1_001.fastq.gz	GA1810Ka600_S42_L001_R2_001.fastq.gz	22520	600	32.87781	-82.21692	NA	50.566667	Sample	0.003737705	0.3814754	80.98607	59.5459	58.80475	0.7388525	4.611967	8.016393	10	172	5.84	6.44	84.3	3.15	348	0.06	0.07	0.28	12.77	163.2	56.1	5.1	0.02	7.65	1.15	26.45	0.58	2.81	0.98	0.07	10600	1	D	6	D6	50.5666666667
GA1810Kb1400	Midville	2018-06-07	Stalk	NA	b	NA	TRUE	FALSE	FALSE	GA1810Kb1400_S28_L001_R1_001.fastq.gz	GA1810Kb1400_S28_L001_R2_001.fastq.gz	6927	1400	32.87781	-82.21691	NA	100.666667	Sample	0.003737705	0.3814754	80.98607	59.5459	58.80475	0.7388525	4.611967	8.016393	10	159	5.94	6.54	89.1	3.34	396	0.06	0.02	0.29	8.38	146.1	70.7	7.9	0.02	6.27	1.11	24.5	0.46	2.85	0.86	0.01	101400	1	C	4	C4	100.6666666667
GA1810Kb600	Midville	2018-05-07	Stalk	NA	b	_maybe_replace_SWVT	TRUE	FALSE	FALSE	GA1810Kb600_S78_L001_R1_001.fastq.gz	GA1810Kb600_S78_L001_R2_001.fastq.gz	16489	600	32.87781	-82.21692	NA	48.8	Sample	0.003737705	0.3814754	80.98607	59.5459	58.80475	0.7388525	4.611967	8.016393	10	172	5.84	6.44	84.3	3.15	348	0.06	0.07	0.28	12.77	163.2	56.1	5.1	0.02	7.65	1.15	26.45	0.58	2.81	0.98	0.07	10600	1	G	6	G6	48.8
GA1810Ra1400	Midville	2018-06-07	Root	NA	a	NA	TRUE	FALSE	FALSE	GA18-10Ra-1400_S227_L001_R1_001.fastq.gz	GA18-10Ra-1400_S227_L001_R2_001.fastq.gz	15837	1400	32.87781	-82.21691	NA	106.2	Sample	0.003737705	0.3814754	80.98607	59.5459	58.80475	0.7388525	4.611967	8.016393	10	159	5.94	6.54	89.1	3.34	396	0.06	0.02	0.29	8.38	146.1	70.7	7.9	0.02	6.27	1.11	24.5	0.46	2.85	0.86	0.01	101400	6	C	12	C12	106.2
GA1810Rb1400	Midville	2018-06-07	Root	NA	b	NA	TRUE	FALSE	FALSE	GA18-10Rb-1400_S253_L001_R1_001.fastq.gz	GA18-10Rb-1400_S253_L001_R2_001.fastq.gz	20582	1400	32.87781	-82.21691	NA	81.8	Sample	0.003737705	0.3814754	80.98607	59.5459	58.80475	0.7388525	4.611967	8.016393	10	159	5.94	6.54	89.1	3.34	396	0.06	0.02	0.29	8.38	146.1	70.7	7.9	0.02	6.27	1.11	24.5	0.46	2.85	0.86	0.01	101400	6	G	2	G2	81.8
GA1810S1400	Midville	2018-06-07	Soil	83	NA	NA	TRUE	FALSE	FALSE	GA1810S1400_S115_L001_R1_001.fastq.gz	GA1810S1400_S115_L001_R2_001.fastq.gz	122302	1400	32.87781	-82.21691	NA	65.933333	Sample	0.003737705	0.3814754	80.98607	59.5459	58.80475	0.7388525	4.611967	8.016393	10	159	5.94	6.54	89.1	3.34	396	0.06	0.02	0.29	8.38	146.1	70.7	7.9	0.02	6.27	1.11	24.5	0.46	2.85	0.86	0.01	101400	2	B	7	B7	65.9333333333
GA1810S600	Midville	2018-05-07	Soil	17	NA	_maybe_replace_SWVT	TRUE	FALSE	FALSE	GA18-10S-600_S167_L001_R1_001.fastq.gz	GA18-10S-600_S167_L001_R2_001.fastq.gz	46428	600	32.87781	-82.21692	NA	262.333333	Sample	0.003737705	0.3814754	80.98607	59.5459	58.80475	0.7388525	4.611967	8.016393	10	172	5.84	6.44	84.3	3.15	348	0.06	0.07	0.28	12.77	163.2	56.1	5.1	0.02	7.65	1.15	26.45	0.58	2.81	0.98	0.07	10600	5	F	12	F12	262.3333333333
